Actor,Film,Year,Genre,BoxOffice,IMDB
Leonardo DiCaprio,Inception,2010,Sci-Fi,836,8.8
Robert Downey Jr.,Avengers: Endgame,2019,Action,2797,8.4
Christian Bale,The Dark Knight,2008,Action,1005,9.0
Christian Bale,Batman Begins,2005,Action,373,8.2
Tom Hanks,Forrest Gump,1994,Drama,678,8.8
Keanu Reeves,The Matrix,1999,Sci-Fi,466,8.7
Brad Pitt,Fight Club,1999,Drama,101,8.8
Johnny Depp,Pirates of the Caribbean,2003,Adventure,654,8.1
Chris Evans,Avengers: Infinity War,2018,Action,2048,8.4
Morgan Freeman,Shawshank Redemption,1994,Drama,58,9.3
Morgan Freeman,Se7en,1995,Crime,327,8.6
Hugh Jackman,Logan,2017,Action,619,8.1
Hugh Jackman,The Prestige,2006,Drama,109,8.5
Mark Wahlberg,The Departed,2006,Crime,291,8.5
Al Pacino,Scarface,1983,Crime,66,8.3
Al Pacino,The Godfather,1972,Crime,246,9.2
Robert De Niro,Taxi Driver,1976,Drama,28,8.2
Robert De Niro,Goodfellas,1990,Crime,47,8.7
Joaquin Phoenix,Joker,2019,Drama,1074,8.4
Henry Cavill,The Witcher,2019,Fantasy,90,8.2
